Area,Fieldtrip code,Sample code,Date,Location,Management,Bait type,Time in,Depth(m),Current,Wind dir.,Cloud (%),Rain (Y/N),Lat. (X),Long. (Y),Orientation,Time (mins),Period,Period time (mins),Time on seafloor,Video duration,Water temperature,Visibility,Bottom type,% water column,% obstruction,Family,Genus,Species,Genus species ,MaxN,Has fed,Comment
Praia do Tofo,19-05_TOFO,19-05_TOF_001,5/10/2019,Praia do Rocha,NR,Mackerel,9:19,13.3,0.5,SE,60,Y briefly,-23.94092,35.52575,Level,,,,,60,NR,9126.644,Sand,46,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_002,5/10/2019,Praia do Rocha,NR,Mackerel,9:26,10.5,0.5,SE,60,Y briefly,-23.93893,35.52551,Level,,,,,60,NR,2805.322,Sand,51,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_003,5/10/2019,Praia do Rocha,NR,Mackerel,9:34,10.2,0.5,SE,60,Y briefly,-23.9366,35.52666,Level,,,,,60,NR,4925.365,Seagrass,57,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_004,5/10/2019,Praia do Rocha,NR,Mackerel,9:41,12,0.5,SE,60,Y briefly,-23.93463,35.52864,Level,,,,,60,NR,2760.111,Patch-reef low,69,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_005,5/10/2019,Praia do Rocha,NR,Mackerel,9:48,12,0.5,SE,60,Y briefly,-23.93369,35.53061,Up,,,,,60,NR,8816.965,Reef high,89,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_006,5/10/2019,Praia do Rocha,NR,Mackerel,11:15,13.7,0.5,SE,60,Y briefly,-23.91153,35.53588,Level,,,,,60,NR,6980.948,Reef low,42,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_007,5/10/2019,Praia do Rocha,NR,Mackerel,11:22,18.3,0.5,SE,60,Y briefly,-23.91026,35.53849,Level,,,,,60,NR,6677.474,Sand,52,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_008,5/10/2019,Praia do Rocha,NR,Mackerel,11:32,14,0.5,SE,60,Y briefly,-23.90796,35.53739,Down,,,,,3,NR,4021.217,Patch-reef high,0,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_009,5/10/2019,Praia do Rocha,NR,Mackerel,11:39,14.2,0.5,SE,60,Y briefly,-23.90517,35.53727,Level,,,,,60,NR,3236.137,Patch-reef low,19,0,,,, ,,,
Praia do Tofo,19-05_TOFO,19-05_TOF_010,5/10/2019,Praia do Rocha,NR,Mackerel,11:44,17,0.5,SE,60,Y briefly,-23.9038,35.54007,Level,,,,,60,NR,NR,Patch-reef high,25,0,,,, ,,,
